User ID,Y,X,Y_cv
1,51.381,49.903,49.5486868679207
2,49.972,48.623,49.3455899644805
3,50.990,48.873,50.1283073076008
4,52.001,50.267,49.8262423085966
5,51.847,49.925,49.9949451170698
6,48.847,47.073,49.6805042864285
7,50.757,49.085,49.6956054315911
8,49.728,47.394,50.2597567074382
9,50.073,47.884,50.1421046686683
10,50.643,48.470,50.1603640908214
11,50.237,47.894,50.2973060318549
12,51.207,49.873,49.4032018980302
13,50.922,48.801,50.1275586029345
14,50.294,48.513,49.7716589894102
15,50.513,48.246,50.2411496606407
16,50.183,48.107,50.0426887982903
17,51.671,49.550,50.171596713498
18,49.901,47.375,50.4497280394691
19,49.534,48.367,49.1488805516021
20,49.307,47.170,50.0492750322419
21,46.969,45.701,49.0949202895662
22,50.820,48.829,49.9992600771167
23,50.826,48.760,50.0704906658789
24,49.556,46.983,50.4744177898547
25,52.245,50.698,49.664366567931
26,48.324,46.348,49.8411429862568
27,50.009,47.784,50.1726128901104
28,50.078,47.542,50.470167185121
29,51.539,49.812,49.7928650009849
30,51.441,49.340,50.1393819328022
31,50.341,47.967,50.3329528575985
32,50.431,48.413,50.0026641681165
33,49.111,47.060,49.9563531939171
34,48.361,45.850,50.346944398295
35,50.041,47.841,50.1516117886088
36,50.310,48.423,49.872079737852
37,51.159,49.477,49.7283642296409
38,51.577,49.394,50.223900530742
39,49.908,47.713,50.1390736099411
40,49.877,47.254,50.5409972881143
41,48.647,47.369,49.2026464056072
42,48.615,46.655,49.8422924272943
43,48.108,46.446,49.5325040283597
44,51.911,50.230,49.7713352646788
45,49.550,47.849,49.6534714039413
46,49.587,47.667,49.8616802769092
47,48.628,46.856,49.6665732336948
48,51.096,48.628,50.4650150641673
49,47.962,46.394,49.4351840002007
50,49.970,47.574,50.3319494128344
51,48.640,46.925,49.6138323529121
52,50.483,48.164,50.2890937865295
53,49.267,47.450,49.7459774891284
54,49.039,47.082,49.8646299915016
55,49.993,48.765,49.2337709835138
56,50.490,48.476,50.0027042688496
57,49.812,47.729,50.0274258833419
58,50.139,48.619,49.5165555884415
59,49.417,47.290,50.0464379502708
60,49.783,47.472,50.2410083493862
